May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/pikmin-2.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/pokemon-colosseum.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/second-sight.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/ssx-3.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/super-mario-strikers.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/super-smash-bros-melee.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/teenage-mutant-ninja-turtles.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/legend-of-zelda-twilight-princess.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/viewtiful-joe.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/wario-world.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/warioware-inc-mega-party-games.gcz" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	System "genesis" has no games! Ignoring it.
May 01 20:37:31 lvl1: 	Error - folder with path "/home/xerocuil/Games/n64" is not a directory!
May 01 20:37:31 lvl2: 	Parsing XML file "/home/xerocuil/.emulationstation/gamelists/n64/gamelist.xml"...
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/super-mario-64.n64" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/banjo-kazooie.n64" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/chameleon-twist.n64" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	System "gamecube" has no games! Ignoring it.
May 01 20:37:31 lvl1: 	Error - folder with path "/home/xerocuil/Games/nes" is not a directory!
May 01 20:37:31 lvl1: 	System "n64" has no games! Ignoring it.
May 01 20:37:31 lvl1: 	  Unknown platform for system "ps1" (platform "ps1" from list "ps1")
May 01 20:37:31 lvl1: 	Error - folder with path "/home/xerocuil/Games/ps1" is not a directory!
May 01 20:37:31 lvl1: 	System "nes" has no games! Ignoring it.
May 01 20:37:31 lvl1: 	Error - folder with path "/home/xerocuil/Games/ps2" is not a directory!
May 01 20:37:31 lvl1: 	System "ps1" has no games! Ignoring it.
May 01 20:37:31 lvl1: 	Error - folder with path "/home/xerocuil/Games/saturn" is not a directory!
May 01 20:37:31 lvl1: 	System "ps2" has no games! Ignoring it.
May 01 20:37:31 lvl1: 	Error - folder with path "/home/xerocuil/Games/snes" is not a directory!
May 01 20:37:31 lvl2: 	Parsing XML file "/home/xerocuil/.emulationstation/gamelists/snes/gamelist.xml"...
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/actraiser-2.smc" does not exist! Ignoring.
